orig,calibrated,y
0,0.00024347323750635976,0
0,0.328055892480953,0
0,0.0019153484112220433,0
1,0.9957315379083841,1
0,0.026787517624019833,0
1,0.5323202716867571,1
1,0.950759516933985,1
0,0.05012630409762102,0
1,0.9999487219537485,1
1,0.9985291682561361,1
1,0.9920249870839617,1
0,0.03881626264581473,0
0,0.013965292015274038,0
0,0.026843703306099264,0
1,0.7640224393967627,1
0,3.18542466421518e-05,0
1,0.784298793430176,1
0,0.009523653886103127,0
0,0.08635258578001029,0
1,0.9976232435752114,1
0,0.15008262305244596,1
1,0.9976004076940381,1
1,0.9996256327344809,1
1,0.9095906139754428,1
0,0.06345848374227546,0
1,0.999213144308227,1
1,0.5105756742489537,0
1,0.979426687300906,1
0,0.003512378148502952,0
1,0.9960355219648419,1
1,0.9980707538747579,1
0,0.011982340396419992,0
0,0.001686090750035195,0
1,0.9773587262978917,1
0,4.3937867723295746e-05,0
1,0.9999938886113323,1
0,0.03124251544325517,0
1,0.9802964930256476,1
1,0.9999671961115523,1
0,7.339334685243414e-05,0
1,0.9657602665839631,1
0,2.185312299708344e-05,0
0,0.008385591879355846,0
1,0.9999826852174023,1
1,0.9999787470509339,1
1,0.9999067760664827,1
1,0.8480493148493936,0
1,0.7772970235540837,1
1,0.9999605550671294,1
0,0.01408191981722408,0
0,0.10129933456401165,1
0,0.036762751308872965,0
1,0.9862960905148068,1
1,0.9983001245712116,1
0,0.0021860954816964543,0
1,0.9999532260504085,1
0,0.10630123306773338,0
0,0.011024358019540366,0
0,0.0017901258938838027,0
0,8.563991252070627e-06,0
1,0.4680770789292346,0
1,0.9600239529138388,1
1,0.887535213449227,1
1,0.999471958048309,1
1,0.9446605574724928,1
0,0.00022775292313655888,0
1,0.893985412175126,1
1,0.8031823268313261,0
1,0.9181910147232384,1
1,0.9996727692601299,1
1,0.9952249743300812,1
0,1.0583130866422621e-05,0
0,0.0010164858752628226,0
1,0.8923954685701095,1
1,0.9987893882545049,1
1,0.7658069893566086,1
1,0.8558124371495031,1
1,0.9999653980685734,1
1,0.9940589454252329,1
1,0.9946102923595442,1
