match_id,team1_score,team2_score,team1_score_final,team2_score_final,model_version,last_updated,confidence
2382296,0.5623409509832654,0.4376590490167346,2,1,pycaret_v1,2025-05-24 00:50:19.329321,0.12468190196653084
2382297,0.9138828257706288,0.08611717422937115,2,0,pycaret_v1,2025-05-24 00:50:19.380682,0.8277656515412577
2382298,0.6661415836289083,0.3338584163710917,2,1,pycaret_v1,2025-05-24 00:50:19.435719,0.3322831672578166
2382299,0.5859143383787989,0.4140856616212011,2,1,pycaret_v1,2025-05-24 00:50:19.490567,0.17182867675759783
2382300,0.7260067997132662,0.2739932002867338,2,0,pycaret_v1,2025-05-24 00:50:19.547053,0.4520135994265324
2382301,0.8122715813656983,0.18772841863430167,2,0,pycaret_v1,2025-05-24 00:50:19.597394,0.6245431627313967
2382302,0.32078537218218073,0.6792146278178193,1,2,pycaret_v1,2025-05-24 00:50:19.654918,0.35842925563563854
2382303,0.7639851161922816,0.2360148838077184,2,0,pycaret_v1,2025-05-24 00:50:19.705360,0.5279702323845632
2382448,0.988305294737285,0.011694705262714988,2,0,pycaret_v1,2025-05-24 00:50:19.854272,0.97661058947457
2382449,0.21167687252374823,0.7883231274762518,0,2,pycaret_v1,2025-05-24 00:50:19.902372,0.5766462549525035
2382632,0.23373014262814795,0.766269857371852,0,2,pycaret_v1,2025-05-24 00:50:19.954141,0.5325397147437041
2382657,0.5795185350596935,0.42048146494030647,2,1,pycaret_v1,2025-05-24 00:50:20.012501,0.15903707011938706
2382691,0.4614825248532929,0.5385174751467071,1,2,pycaret_v1,2025-05-24 00:50:20.081345,0.07703495029341423
2382692,0.5234664364883594,0.47653356351164056,2,1,pycaret_v1,2025-05-24 00:50:20.129623,0.04693287297671889
2382736,0.32487970851071263,0.6751202914892873,1,2,pycaret_v1,2025-05-24 00:50:20.206535,0.35024058297857474
2382737,0.2035567353610606,0.7964432646389394,0,2,pycaret_v1,2025-05-24 00:50:20.254878,0.5928865292778789
2382738,0.88043948307832,0.11956051692168002,2,0,pycaret_v1,2025-05-24 00:50:20.300169,0.76087896615664
2382739,0.1415516840846319,0.8584483159153681,0,2,pycaret_v1,2025-05-24 00:50:20.346532,0.7168966318307362
2382786,0.5098414185567762,0.4901585814432238,2,1,pycaret_v1,2025-05-24 00:50:20.392060,0.019682837113552454
2382787,0.12952697394803087,0.8704730260519691,0,2,pycaret_v1,2025-05-24 00:50:20.439380,0.7409460521039383
2382788,0.12147866014373782,0.8785213398562621,0,2,pycaret_v1,2025-05-24 00:50:20.485700,0.7570426797125244
2382789,0.48174242540412,0.51825757459588,1,2,pycaret_v1,2025-05-24 00:50:20.531336,0.03651514919176002
2382798,0.9404123104061389,0.05958768959386107,2,0,pycaret_v1,2025-05-24 00:50:20.577532,0.8808246208122779
2382810,0.46309452137324925,0.5369054786267508,1,2,pycaret_v1,2025-05-24 00:50:20.652285,0.07381095725350151
2382811,0.05880998476223131,0.9411900152377687,0,2,pycaret_v1,2025-05-24 00:50:20.698956,0.8823800304755374
2382844,0.7370031549873729,0.2629968450126271,2,0,pycaret_v1,2025-05-24 00:50:20.786650,0.4740063099747458
2382848,0.6602084642504715,0.3397915357495285,2,1,pycaret_v1,2025-05-24 00:50:20.843183,0.32041692850094305
2382849,0.50839118912977,0.49160881087023,2,1,pycaret_v1,2025-05-24 00:50:20.892426,0.016782378259539987
2382850,0.5446511327975826,0.4553488672024174,2,1,pycaret_v1,2025-05-24 00:50:20.936536,0.08930226559516519
2382851,0.9044180480653935,0.0955819519346065,2,0,pycaret_v1,2025-05-24 00:50:20.985063,0.808836096130787
