match_id,map_name,team1_pred,team2_pred,team1_real,team2_real,confidence
2381544,Dust2,1.1033755852751268,1.1225629114681426,13,10,0.064
2381544,Anubis,3.9136761184416997,0.835778072927075,13,8,0.064
2381545,Dust2,-0.26239449012563715,1.94801219039079,8,13,0.118
2381545,Nuke,2.555408835240477,3.6757403165516664,15,19,0.115
2381546,Nuke,1.88320969581128,-0.06447166771729883,13,11,0.185
2381546,Dust2,2.30787891108987,-0.18453913646072428,13,7,0.185
2381547,Anubis,0.9844985327947844,0.3927544324088781,13,9,0.278
2381547,Train,3.5854314861807977,1.8903170693198632,7,13,0.278
2381547,Nuke,1.709628418156164,1.2278738321333784,13,8,0.274
2381791,Ancient,0.20220195760465343,1.8061473348336412,8,13,0.144
2381791,Nuke,2.6991466167459306,2.757199362759563,8,13,0.134
2381792,Ancient,-0.40126782260710697,1.2522312444337353,10,13,0.061
2381792,Train,0.39420782008616756,1.934523904711386,20,22,0.061
2381793,Anubis,2.6929146071854895,1.201931710815258,13,10,0.147
2381793,Ancient,1.885845319718572,1.497922592157433,16,14,0.147
2381903,Mirage,1.9802400831921343,1.3764882969285608,13,6,0.179
2381903,Ancient,3.164378622198805,2.351984380901015,5,13,0.182
2381903,Anubis,0.16222885855558564,2.411082743546729,10,13,0.169
2381904,Nuke,-0.2193309858337513,1.9889285571059216,13,16,0.246
2381904,Dust2,0.4930472869420119,2.2977743192674414,10,13,0.249
2381905,Dust2,1.1479163651898998,1.8506674714552371,13,10,0.252
2381905,Mirage,-0.09076068580053508,1.9825124114071255,3,13,0.252
2381905,Ancient,-0.009049300530328905,2.1151280863559867,13,16,0.252
2381905,Anubis,1.0957737597055248,1.8506674714552371,13,8,0.252
2381905,Train,0.5062008339881489,2.6637388025220274,13,6,0.255
2381906,Inferno,3.8552110635192602,2.1549649845269068,13,7,0.046
2381906,Dust2,6.505566217177429,1.9162645115457684,13,6,0.045
2381907,Nuke,5.846719672972336,2.315139353888324,13,9,0.017
2381907,Inferno,5.185649644246287,0.9871450681203886,11,13,0.017
2381907,Dust2,3.5435065202476888,0.5274001319477828,13,0,0.017
2381908,Mirage,2.055141182127245,-0.7838215748296993,13,2,0.04
2381908,Nuke,4.928972961318049,1.601712301574171,13,9,0.038
2381909,Dust2,-0.21851129552398255,2.3863795263789624,6,13,0.027
2381909,Ancient,-0.2801167959458895,2.8136836073833376,10,13,0.027
2381910,Inferno,0.5896734846391195,3.305922089281354,10,13,0.027
2381910,Anubis,3.8164043906954435,2.9998902826051825,5,13,0.027
2381911,Mirage,1.8725347728542339,0.8230937010507519,13,9,0.034
2381911,Inferno,0.28571628092128437,0.5340375670245875,9,13,0.034
2381911,Train,0.2261929733662962,2.049558197216202,8,13,0.034
2381912,Inferno,0.25249798214600355,3.2919214069340943,11,13,0.035
2381912,Nuke,3.09070686015602,4.120381936786852,18,22,0.035
2381913,Mirage,3.5622181755774824,0.12549719022243905,13,4,0.032
2381913,Ancient,0.8187099585489774,2.146865389573193,6,13,0.033
2381913,Dust2,0.7295019361643162,2.5188797245666525,12,16,0.033
2381914,Dust2,5.010234447252154,0.8275866559258996,13,11,0.028
2381914,Mirage,2.2760606799531153,0.6273607545067736,13,2,0.028
2381915,Anubis,3.1209072291226847,4.517009602699698,7,13,0.046
2381915,Dust2,-0.20101833803542174,3.221453698202518,2,13,0.046
2381916,Nuke,3.703974614881742,0.7993840964839423,16,14,0.032
2381916,Dust2,3.9837826478546288,0.45350148387924805,13,6,0.032
2381917,Mirage,2.0094209936474505,1.6261398253768748,13,8,0.033
2381917,Nuke,2.161205156550357,1.7465681683942857,13,9,0.033
2381918,Inferno,1.9290874315386357,2.2693130473277012,13,9,0.034
2381918,Dust2,3.268037126687867,1.8635511706142789,6,13,0.033
2381918,Train,0.48529685564646186,1.1060696339317488,6,13,0.034
2381918,Mirage,2.131529749248714,2.2719811416220805,16,14,0.034
2381918,Nuke,0.4832739428282465,1.3982263905574845,8,13,0.034
2381933,Nuke,-0.13989197614843235,1.8557806422365961,7,13,0.268
2381933,Anubis,-0.0012821617371142355,2.121609547638064,14,16,0.271
2381934,Dust2,0.3376923648861735,2.9804468369239525,2,13,0.057
2381934,Nuke,0.35355907253843744,3.004550719673118,3,13,0.057
2381935,Mirage,0.7452195459820237,0.9610158991938784,8,13,0.217
